name,selling_price_idr,year,seller_type,owner,km_driven
Bajaj Avenger 150 street,11831400,2018,Individual,1st owner,20000
Yamaha YBR 125,6901650,2013,Individual,1st owner,20350
Yamaha YBR 125,7098840,2014,Individual,1st owner,20400
Royal Enfield Thunderbird 350,17155530,2012,Individual,1st owner,20477
Bajaj Pulsar 180,9859500,2017,Individual,1st owner,20500
Honda Activa i,6310080,2013,Individual,2nd owner,20696
Yamaha SZ [2013-2014],3943800,2011,Individual,2nd owner,21000
Hero Glamour 125,8873550,2018,Individual,1st owner,21000
Royal Enfield Thunderbird 350,16761150,2013,Individual,1st owner,21000
Hero Xtreme Sports,11437020,2016,Individual,1st owner,21000
Kawasaki Ninja 250R,24648750,2010,Individual,2nd owner,21000
TVS Star City Plus,8281980,2017,Individual,1st owner,21000
Bajaj Super,3943800,1988,Individual,1st owner,21000
Honda Dream Neo,8873550,2017,Individual,2nd owner,21000
Hero Super Splendor,8873550,2012,Individual,1st owner,21000
Honda Dream Neo,8281980,2014,Individual,1st owner,21000
Bajaj Discover 100,5324130,2015,Individual,1st owner,21000
Honda Shine,7887600,2015,Individual,1st owner,21121
Bajaj Avenger Street 220,15775200,2018,Individual,1st owner,21178
KTM RC390,26620650,2017,Individual,1st owner,21700
Bajaj Pulsar 150 [2001-2011],3549420,2005,Individual,1st owner,21885
Suzuki Intruder 150,18733050,2018,Individual,1st owner,21938
Royal Enfield Classic Gunmetal Grey,27606600,2018,Individual,1st owner,22000
Royal Enfield Thunderbird 350,16544241,2014,Individual,2nd owner,22000
Honda Activa 5G,8281980,2018,Individual,1st owner,22000
Yamaha YZF R15 [2011-2018],11831400,2012,Individual,1st owner,22000
Honda Activa [2000-2015],5915700,2012,Individual,1st owner,22000
Bajaj Pulsar 135 LS,8873550,2017,Individual,1st owner,22000
TVS Wego,4929750,2012,Individual,1st owner,22000
Suzuki Access 125,8873550,2017,Individual,1st owner,22300
Bajaj Pulsar 150,8281980,2015,Individual,1st owner,22770
Hero Honda Splendor PRO,5915700,2012,Individual,1st owner,22866
Yamaha Fazer FI V 2.0 [2016-2018],12817350,2015,Individual,1st owner,23000
Royal Enfield Classic Gunmetal Grey,29578500,2018,Individual,1st owner,23000
Bajaj Pulsar 150 [2001-2011],8281980,2011,Individual,1st owner,23000
Honda Shine,9859500,2017,Individual,1st owner,23000
Hero Honda Splendor Plus,3943800,2006,Individual,1st owner,23000
Bajaj Avenger Street 220,18733050,2018,Individual,1st owner,23000
Royal Enfield Classic Desert Storm,29578500,2015,Individual,1st owner,23000
Suzuki Access 125 [2007-2016],5915700,2012,Individual,1st owner,23000
Hero Xtreme Sports,12817350,2017,Individual,1st owner,23000
Bajaj V15,14986440,2018,Individual,1st owner,23000
Hero Ignitor,7098840,2016,Individual,1st owner,23000
Yamaha FZ S V 2.0,9465120,2017,Individual,1st owner,23000
TVS Apache RTR 180,8873550,2016,Individual,1st owner,23000
Bajaj Avenger Street 150 [2018],11831400,2016,Individual,2nd owner,23097
Royal Enfield Thunderbird 350,24648750,2017,Individual,1st owner,23500
Honda CBR 150,12817350,2016,Individual,1st owner,23500
Honda Navi [2016-2017],8281980,2017,Individual,1st owner,24000
Hero Splendor PRO,6901650,2015,Individual,2nd owner,24000
Hero Splendor PRO,6901650,2015,Individual,2nd owner,24000
Hero Xtreme [2013-2014],4929750,2013,Individual,1st owner,24000
KTM 200 Duke,26620650,2018,Individual,1st owner,24000
Hero Pleasure,5915700,2013,Individual,1st owner,24000
Bajaj Platina 100,4535370,2013,Individual,2nd owner,24000
Honda Dio,5915700,2014,Individual,1st owner,24000
Bajaj Pulsar 150,14197680,2017,Individual,1st owner,24000
Hero Honda Street Smart,1971900,2000,Individual,1st owner,24000
Suzuki Access 125,3943800,2012,Individual,1st owner,24000
Yamaha FZ S [2012-2016],8873550,2015,Individual,1st owner,24000
Bajaj Pulsar 150,13803300,2017,Individual,1st owner,24000
Bajaj Pulsar 220 F,10056690,2018,Individual,1st owner,24000
Bajaj Avenger Street 220,8873550,2013,Individual,1st owner,24000
Honda Activa 125,6901650,2018,Individual,1st owner,24000
Hero  Ignitor Disc,3943800,2015,Individual,2nd owner,24000
Royal Enfield Thunderbird 350,23662800,2016,Individual,1st owner,24600
Honda Activa 4G,8873550,2018,Individual,1st owner,25000
Honda CB Hornet 160R,9465120,2016,Individual,2nd owner,25000
Bajaj CT 110,3943800,2015,Individual,1st owner,25000
Honda Dio,6901650,2014,Individual,1st owner,25000
Royal Enfield Classic Desert Storm,25634700,2015,Individual,2nd owner,25000
Honda CB Shine SP,9465120,2015,Individual,1st owner,25000
Suzuki Gixxer [2014-2018],10845450,2015,Individual,1st owner,25000
Royal Enfield Thunderbird 500,24648750,2014,Individual,1st owner,25000
TVS Apache RTR 160,6901650,2011,Individual,1st owner,25000
Royal Enfield Classic Squadron Blue,27606600,2017,Individual,1st owner,25000
TVS Star City Plus,10253880,2017,Individual,1st owner,25000
Yamaha FZ S V 2.0,7887600,2015,Individual,1st owner,25000
Honda Dream Neo,9859500,2014,Individual,1st owner,25000
Bajaj Discover 135,4338180,2007,Individual,1st owner,25000
Honda Shine,5915700,2014,Individual,1st owner,25000
Hero Glamour FI,6093171,2014,Individual,1st owner,25000
Bajaj Discover 150,4929750,2008,Individual,1st owner,25000
TVS Sport,6704460,2018,Individual,1st owner,25000
Yamaha FZ V 2.0,11831400,2018,Individual,1st owner,25000
Honda Activa [2000-2015],4929750,2015,Individual,1st owner,25000
Hero Passion XPro,4929750,2013,Individual,1st owner,25000
Honda Activa 5G,9859500,2018,Individual,1st owner,25000
Honda Activa i,5915700,2014,Individual,1st owner,25000
Honda Shine,8281980,2017,Individual,1st owner,25000
Hero Pleasure [2005-2015],5915700,2013,Individual,1st owner,25000
Bajaj Avenger Street 150 [2018],11831400,2016,Individual,1st owner,25000
Hero Pleasure,5915700,2013,Individual,1st owner,25000
Yamaha FZ  v 2.0,11831400,2018,Individual,1st owner,25000
Bajaj Pulsar  NS 200,11831400,2016,Individual,1st owner,25000
Bajaj Discover 125,3943800,2014,Individual,2nd owner,25000
Yamaha FZ16,5915700,2009,Individual,2nd owner,26000
Hero Karizma 2014,6901650,2013,Individual,1st owner,26000
Bajaj Discover 100 T,4929750,2013,Individual,1st owner,26000
Honda Activa 125 [2016-2017],7887600,2017,Individual,1st owner,26000
Hero Achiever 150,7493220,2017,Individual,1st owner,26000
Bajaj Avenger [2015],12817350,2015,Individual,1st owner,26000
Bajaj Pulsar 180,12817350,2018,Individual,1st owner,26000
Yamaha YZF R15 S,16761150,2016,Individual,1st owner,26000
Bajaj Pulsar 220 DTS-i,7887600,2011,Individual,1st owner,26000
Honda Dream Yuga,8873550,2017,Individual,1st owner,26000
Royal Enfield Classic 350,21690900,2017,Individual,1st owner,26000
Bajaj Pulsar 150,4929750,2010,Individual,2nd owner,26000
Yamaha FZ S V 2.0,15380820,2017,Individual,1st owner,26100
TVS Sport,6901650,2018,Individual,1st owner,26600
Hero Honda Glamour,4929750,2006,Individual,1st owner,27000
Honda X-Blade,12817350,2018,Individual,1st owner,27000
Bajaj Pulsar 150,5817105,2013,Individual,1st owner,27000
Yamaha Saluto RX,7887600,2017,Individual,1st owner,27000
KTM RC 200,25634700,2017,Individual,1st owner,27000
Hero HF Deluxe,6901650,2017,Individual,1st owner,27000
Honda CB Unicorn 150,9859500,2016,Individual,1st owner,27000
Yamaha YZF R15 [2011-2018],15775200,2017,Individual,1st owner,27000
Bajaj Avenger Street 150 [2018],11831400,2016,Individual,2nd owner,27000
Honda Activa 125 [2016-2017],9859500,2017,Individual,1st owner,27000
Bajaj Avenger 220 dtsi,8873550,2012,Individual,1st owner,27000
Hero Honda Splendor Plus,3943800,2005,Individual,1st owner,27370
Hero Karizma ZMR,7296030,2010,Individual,1st owner,27500
Yamaha FZ S [2012-2016],7887600,2014,Individual,1st owner,27785
Bajaj Discover 150S,6901650,2015,Individual,1st owner,28000
Hero Duet,5324130,2016,Individual,1st owner,28000
Hero Honda Passion Plus,3943800,2006,Individual,1st owner,28000
Bajaj Discover 100,4929750,2010,Individual,2nd owner,28000
Bajaj Pulsar 150,9859500,2012,Individual,1st owner,28000
Hero Honda CBZ extreme,6901650,2011,Individual,1st owner,28000
Royal Enfield Thunderbird 350,19719000,2012,Individual,1st owner,28000
Bajaj Pulsar 150,7887600,2016,Individual,1st owner,28000
TVS Max DLX,5126940,2002,Individual,2nd owner,28000
Honda Activa [2000-2015],3549420,2011,Individual,1st owner,28000
Honda CB Hornet 160R,13803300,2017,Individual,1st owner,28000
Royal Enfield Electra 5 S,19521810,2012,Individual,1st owner,28000
Honda Aviator,5521320,2013,Individual,1st owner,28087
Bajaj Avenger [2015],7493220,2014,Individual,2nd owner,28243
Bajaj Pulsar 150,11831400,2017,Individual,1st owner,28450
Bajaj Pulsar 180,11831400,2015,Individual,1st owner,28563
Hero Honda CD Deluxe,5028345,2012,Individual,1st owner,28990
Yamaha FZ16,6901650,2012,Individual,2nd owner,29000
Bajaj Avenger Street 220,11831400,2016,Individual,1st owner,29000
Hero Achiever 150,12817350,2016,Individual,1st owner,29000
Honda Dream Yuga,4929750,2013,Individual,1st owner,29000
Hero Honda Passion Plus,7887600,2018,Individual,1st owner,29000
Yamaha YZF R15 [2011-2018],12817350,2011,Individual,1st owner,29000
Honda Activa i [2016-2017],6901650,2016,Individual,1st owner,29000
Honda Activa [2000-2015],6901650,2012,Individual,1st owner,29000
Yamaha FZ  v 2.0,11831400,2017,Individual,1st owner,29000
Hero Passion Pro 110,9859500,2019,Individual,1st owner,29442
Honda Activa [2000-2015],6901650,2013,Individual,1st owner,29500
Honda Aviator,5521320,2009,Individual,1st owner,29625
Bajaj Avenger Street 150 [2018],7887600,2016,Individual,1st owner,29689
Yamaha FZ16,11831400,2016,Individual,1st owner,29950
Honda CB Hornet 160R,12817350,2016,Individual,1st owner,30000
Hero Splendor Plus,5915700,2015,Individual,1st owner,30000
Honda Activa 3G,11831400,2015,Individual,1st owner,30000
Yamaha SZ X,4929750,2012,Individual,2nd owner,30000
Bajaj Boxer,1971900,2000,Individual,1st owner,30000
Hero Karizma 2014,7887600,2013,Individual,1st owner,30000
Bajaj Avenger [2015],6901650,2011,Individual,1st owner,30000
Bajaj Kristal,2957850,2007,Individual,1st owner,30000
Royal Enfield Thunderbird 350,19719000,2015,Individual,1st owner,30000
Hero Honda Splendor Plus,2957850,2007,Individual,1st owner,30000
Hero Honda CD Deluxe,2898693,2005,Individual,2nd owner,30000
Bajaj Avenger Street 150 [2018],15775200,2017,Individual,1st owner,30000
Bajaj Avenger Street 150 [2018],11831400,2017,Individual,1st owner,30000
Bajaj Pulsar 135 LS,4929750,2011,Individual,2nd owner,30000
Suzuki Swish [2012-2015],5915700,2014,Individual,1st owner,30000
Hero Honda Glamour,6901650,2012,Individual,1st owner,30000
Honda Livo,4929750,2015,Individual,1st owner,30000
Bajaj Discover 100 T,4929750,2014,Individual,1st owner,30000
Hero Pleasure,3943800,2012,Individual,2nd owner,30000
Bajaj Pulsar 150,14789250,2017,Individual,1st owner,30000
Bajaj Platina 100,4929750,2013,Individual,1st owner,30000
Bajaj Pulsar 180,9859500,2014,Individual,1st owner,30000
Yamaha YZF R15 [2011-2018],15775200,2013,Dealer,1st owner,30000
Hero Honda Splendor Plus,3943800,2010,Individual,2nd owner,30000
Honda Livo,8873550,2017,Individual,1st owner,30000
Bajaj Discover 100 M,6310080,2014,Individual,1st owner,30000
Honda Karizma,6901650,2013,Individual,1st owner,30000
Honda CB Shine,5915700,2015,Individual,1st owner,30000
Honda Activa 125 [2016-2017],8281980,2016,Individual,1st owner,30514
Bajaj Pulsar 220F,13803300,2016,Individual,1st owner,31000
Bajaj Discover 100,4732560,2014,Individual,1st owner,31000
Hero Passion X pro,9859500,2018,Individual,1st owner,31000
Bajaj Discover 135,3943800,2010,Individual,1st owner,31195
Royal Enfield Electra Twinspark,19719000,2014,Individual,1st owner,31500
Hero Honda CBZ extreme,5915700,2010,Individual,1st owner,32000
Yamaha FZ16,6901650,2015,Individual,1st owner,32000
Honda CB Unicorn 150,9859500,2014,Individual,1st owner,32000
Hero Honda Pleasure,4535370,2010,Individual,1st owner,32000
Bajaj Discover 125,2957850,2011,Individual,1st owner,32000
Bajaj Avenger Street 150 [2018],9859500,2016,Individual,1st owner,32000
Hero Honda Glamour,3746610,2012,Individual,1st owner,32000
Bajaj Pulsar RS 200,15775200,2015,Individual,1st owner,32000
Hero Hunk,6901650,2016,Individual,1st owner,32000
Honda CB Unicorn 150,5915700,2012,Individual,1st owner,32000
Honda CBR 150,11831400,2015,Individual,1st owner,32000
Honda CB twister,4929750,2015,Individual,1st owner,32000
TVS Scooty Zest 110,5521320,2015,Individual,1st owner,32800
Bajaj Pulsar 220F,13803300,2018,Individual,1st owner,33000
Honda CB Shine SP,8084790,2017,Individual,1st owner,33000
Bajaj Pulsar AS200,12817350,2015,Individual,1st owner,33000
Royal Enfield Classic 350,21690900,2015,Individual,1st owner,33000
Honda CB twister,3155040,2012,Individual,1st owner,33000
Hero Ignitor,6901650,2014,Individual,1st owner,33200
TVS Scooty Streak,3549420,2009,Individual,2nd owner,33595
Honda Shine,6901650,2012,Individual,1st owner,33700
Royal Enfield Classic 350,24648750,2017,Individual,1st owner,33900
Hero CD Deluxe,2957850,2014,Individual,2nd owner,34000
Bajaj Discover 125,7493220,2018,Individual,1st owner,34000
Bajaj Pulsar 180,7887600,2013,Individual,1st owner,34000
Bajaj V15,7887600,2016,Individual,1st owner,34000
Honda CB Shine SP,9859500,2017,Individual,1st owner,34300
Yamaha Fazer [2009-2016],7887600,2013,Individual,1st owner,34500
Royal Enfield Bullet 500,25634700,2015,Individual,1st owner,34601
Honda Dream Yuga,4929750,2012,Individual,1st owner,35000
Yamaha Fazer [2009-2016],7887600,2013,Individual,3rd owner,35000
Hero Splendor Plus,6901650,2014,Individual,2nd owner,35000
Bajaj V15,8281980,2016,Individual,1st owner,35000
Hero Hunk,3943800,2010,Individual,1st owner,35000
Hero Duet,8873550,2017,Individual,1st owner,35000
Bajaj Avenger Street 150 [2018],14789250,2016,Individual,1st owner,35000
Honda CB Hornet 160R,13803300,2017,Individual,1st owner,35000
Hero Honda CD Deluxe,4929750,2010,Individual,1st owner,35000
Bajaj Super,1183140,1991,Individual,1st owner,35000
Hero HF Deluxe,5915700,2014,Individual,2nd owner,35000
Honda CB Twister,4929750,2015,Individual,1st owner,35000
Honda CB Hornet 160R,13803300,2017,Individual,1st owner,35000
Bajaj Avenger [2015],8873550,2011,Individual,1st owner,35000
Hero Honda CBZ extreme,6901650,2011,Individual,1st owner,35000
Hero Splendor NXG,3549420,2011,Individual,1st owner,35000
Bajaj Pulsar 180,16761150,2016,Individual,1st owner,35000
Honda Activa [2000-2015],1183140,2006,Individual,2nd owner,35000
Bajaj V12,8873550,2017,Individual,1st owner,35000
Royal Enfield Classic 350,25634700,2018,Individual,2nd owner,35000
Hero CBZ,7887600,2014,Individual,1st owner,35000
Mahindra Mojo XT300,22676850,2018,Individual,1st owner,35000
Bajaj  ct 100,3549420,2017,Individual,1st owner,35000
Bajaj Discover 125,2957850,2013,Individual,2nd owner,35000
Hero Splendor PRO,6901650,2015,Individual,1st owner,35280
Bajaj Pulsar 150,6901650,2011,Individual,1st owner,35600
Hero Honda Splendor Plus,3549420,2010,Individual,1st owner,35700
Honda Dio,8873550,2017,Individual,1st owner,35850
Royal Enfield Classic 350,24648750,2017,Individual,1st owner,36000
Hero Passion PRO TR,8873550,2014,Individual,1st owner,36000
Royal Enfield Bullet 350,21690900,2015,Individual,1st owner,36000
Honda CB Trigger,8873550,2015,Individual,1st owner,36000
Bajaj Pulsar 150,6901650,2011,Individual,1st owner,36000
TVS Streak,3943800,2009,Individual,2nd owner,36000
Bajaj Pulsar 180,3963519,2008,Individual,1st owner,36000
Yamaha YZF R15 S,14789250,2018,Individual,1st owner,36000
Hero CBZ,6901650,2010,Individual,1st owner,36000
Bajaj V15,8873550,2016,Individual,1st owner,36000
Royal Enfield Electra 5 S,19521810,2006,Individual,2nd owner,36000
Bajaj Pulsar 150 [2001-2011],4338180,2011,Individual,1st owner,36000
Honda Activa 3G,7887600,2015,Individual,1st owner,36000
KTM 200 Duke,14197680,2013,Individual,1st owner,36500
Honda Aviator,8084790,2013,Individual,1st owner,36500
Bajaj Platina 100,5915700,2018,Individual,1st owner,37000
Yamaha FZ16,8873550,2016,Individual,1st owner,37000
Bajaj Pulsar 150,7887600,2012,Individual,2nd owner,37000
Honda CB Shine SP,9859500,2018,Individual,1st owner,37000
Yamaha Fascino 110,7493220,2016,Individual,1st owner,37000
Hero Super Splendor,6901650,2014,Individual,2nd owner,37541
Bajaj Pulsar 135 LS,11042640,2017,Individual,3rd owner,37714
Bajaj Discover 100 M,3943800,2011,Individual,1st owner,37734
Hero Splendor PRO,5521320,2015,Individual,1st owner,38000
Bajaj Discover 125 ST,3450825,2013,Individual,1st owner,38000
Yamaha SZ RR V 2.0,6901650,2015,Individual,1st owner,38000
Hero Karizma [2003-2014],9859500,2013,Individual,1st owner,38000
Honda Activa [2000-2015],4338180,2014,Individual,1st owner,38000
TVS Apache RTR 160,9859500,2017,Individual,1st owner,38000
Hero Karizma [2003-2014],9859500,2013,Individual,1st owner,38000
Hero CD Deluxe,6901650,2016,Individual,1st owner,38000
Hero Honda Splendor,4929750,2008,Individual,1st owner,38000
Honda CB Hornet 160R,13803300,2017,Individual,1st owner,38000
Honda Activa [2000-2015],4929750,2012,Individual,1st owner,38000
Honda CBR150 R,15183630,2014,Individual,1st owner,38000
Honda CB Unicorn 150,8281980,2013,Individual,1st owner,38000
Hero CD Dawn,6901650,2014,Individual,1st owner,38000
Honda CB Unicorn Dazzler,4338180,2011,Individual,1st owner,38350
Bajaj CT 100,5915700,2016,Individual,1st owner,38500
Honda CB Unicorn,7493220,2017,Individual,1st owner,38600
Royal Enfield Bullet 350 [2007-2011],35494200,2008,Individual,2nd owner,39000
Yamaha FZ25,23662800,2018,Individual,1st owner,39000
Honda Activa 3G,5915700,2015,Individual,1st owner,39000
Hero Maestro Edge,10845450,2018,Individual,1st owner,39000
Honda Dream Yuga,6310080,2017,Individual,1st owner,39000
Honda Dream Yuga,6901650,2015,Individual,1st owner,39448
Bajaj Discover 150,5915700,2011,Individual,2nd owner,39500
Honda CB Trigger,5915700,2015,Individual,1st owner,40000
Royal Enfield Electra 5 S,17747100,2010,Individual,2nd owner,40000
Hero Honda CBZ extreme,4929750,2010,Individual,1st owner,40000
Bajaj Avenger Street 150 [2018],9859500,2016,Individual,1st owner,40000
Bajaj CT 100,6310080,2017,Individual,1st owner,40000
Yamaha FZ16,4929750,2008,Individual,1st owner,40000
Bajaj Pulsar 150,6901650,2010,Individual,1st owner,40000
Yamaha FZ S V 2.0,9859500,2016,Individual,1st owner,40000
TVS Apache RTR 160,9859500,2016,Individual,1st owner,40000
Hero Maestro,4929750,2015,Individual,2nd owner,40000
Yamaha Fazer Dlx,11437020,2012,Individual,1st owner,40000
Hero Honda Hunk,5521320,2009,Individual,1st owner,40000
UM Renegade Commando,27606600,2017,Individual,2nd owner,40000
Hero Maestro,5225535,2016,Individual,2nd owner,40000
Bajaj Pulsar 180,6310080,2012,Individual,1st owner,40000
Royal Enfield Thunderbird 350,11831400,2006,Individual,1st owner,40000
Suzuki Access 125 [2007-2016],3155040,2011,Individual,1st owner,40000
Hero Honda Splendor Plus,7887600,2007,Individual,1st owner,40000
Hero Honda CD Deluxe,4870593,2012,Individual,2nd owner,40000
Bajaj Pulsar 220F,11831400,2017,Individual,2nd owner,40000
Honda Activa [2000-2015],4929750,2012,Individual,1st owner,40000
Bajaj Pulsar 150,10845450,2015,Individual,2nd owner,40000
Honda CB Unicorn 160,14789250,2016,Individual,1st owner,40000
Honda Dio,4535370,2010,Individual,1st owner,40000
Hero Passion Pro 110,3943800,2008,Individual,3rd owner,40000
Honda Shine,5915700,2014,Individual,1st owner,40000
Hero Splendor Plus,4929750,2006,Individual,2nd owner,40000
Honda CB Unicorn Dazzler,4929750,2011,Individual,1st owner,40000
TVS Apache [2006],2957850,2006,Individual,1st owner,40000
Suzuki Gixxer [2014-2018],8873550,2015,Individual,1st owner,40000
Hero Karizma 2014,4929750,2015,Individual,1st owner,40000
Bajaj Pulsar 220F,8873550,2011,Individual,1st owner,40000
Royal Enfield Thunderbird 350,11634210,2005,Individual,2nd owner,40000
Bajaj Discover 125 M,8873550,2014,Individual,1st owner,40000
TVS Star City,2957850,2006,Individual,1st owner,40000
Hero Honda Hunk,8873550,2013,Individual,1st owner,40000
Royal Enfield Electra 5 S,17747100,2012,Individual,1st owner,40000
Royal Enfield Classic 500,17747100,2011,Individual,1st owner,40000
Hero Hunk,8873550,2014,Individual,1st owner,41000
Honda Activa [2000-2015],4929750,2014,Individual,1st owner,41000
Hero Passion PRO i3s,9859500,2017,Individual,1st owner,41000
Bajaj Pulsar 150,3943800,2006,Individual,1st owner,41000
Hero Honda Hunk,7887600,2010,Individual,1st owner,41000
Yamaha FZ V 2.0,11831400,2014,Individual,1st owner,41311
Bajaj Discover 125,9859500,2016,Individual,1st owner,42000
Hero Honda Passion PRO [2012],5915700,2011,Individual,1st owner,42000
Bajaj Pulsar 150,4929750,2010,Individual,1st owner,42000
Bajaj Pulsar 150 [2001-2011],10845450,2010,Individual,1st owner,42000
Yamaha FZ S V 2.0,12817350,2017,Individual,1st owner,42000
TVS Apache RTR 160,8281980,2016,Individual,1st owner,42000
Bajaj Discover 100,4929750,2010,Individual,1st owner,43000
Suzuki Access 125 [2007-2016],4338180,2010,Individual,2nd owner,43000
Honda CBF Stunner,7296030,2014,Individual,1st owner,43000
Hero Splendor PRO,4732560,2011,Individual,1st owner,43000
Bajaj Pulsar 180,4929750,2011,Individual,1st owner,43000
Bajaj Pulsar 150,7887600,2013,Individual,1st owner,43400
Bajaj Pulsar 220 Fi,4929750,2012,Individual,1st owner,44000
Yamaha FZ16,5915700,2011,Individual,1st owner,44000
Hero Honda Karizma ZMR [2010],8873550,2012,Individual,3rd owner,44000
TVS Scooty Pep DLX,2859255,2012,Individual,1st owner,44000
Yamaha YZF R15 S,7887600,2010,Individual,2nd owner,45000
Bajaj Pulsar 220S,10845450,2015,Individual,1st owner,45000
TVS Apache RTR 200 4V,19719000,2017,Individual,1st owner,45000
Bajaj Discover 125,5521320,2013,Individual,1st owner,45000
Bajaj Pulsar 180,6901650,2012,Individual,1st owner,45000
Bajaj Discover 100 T,3549420,2013,Individual,1st owner,45000
Bajaj V15,7887600,2016,Individual,1st owner,45000
Honda Activa [2000-2015],5817105,2013,Individual,1st owner,45000
Royal Enfield Classic Chrome,26620650,2015,Individual,1st owner,45000
Bajaj Pulsar 135 LS,4732560,2010,Individual,1st owner,45000
Bajaj Discover 100,5915700,2011,Individual,1st owner,45000
Hero Splendor Plus,4929750,2015,Individual,1st owner,45000
Bajaj Discover 125 M,5915700,2014,Individual,1st owner,45000
Honda Shine,7296030,2016,Individual,1st owner,45000
Bajaj CT 100,4929750,2017,Individual,1st owner,45000
Honda CB Shine SP,9859500,2016,Individual,1st owner,45000
Bajaj Pulsar 220 F,10253880,2012,Individual,1st owner,45000
Bajaj Pulsar NS 200,9859500,2015,Individual,1st owner,45000
Bajaj Avenger Street 150 [2018],11831400,2016,Individual,1st owner,45137
Yamaha RXG,4929750,1997,Individual,1st owner,45354
Yamaha FZ V 2.0,11831400,2016,Individual,1st owner,45420
Honda CB Unicorn 150,9859500,2007,Individual,1st owner,46000
TVS Apache RTR 160,12817350,2017,Individual,1st owner,46000
Honda CB Shine SP,9859500,2016,Individual,1st owner,46000
Bajaj Pulsar NS200,9859500,2012,Individual,1st owner,46000
Yamaha SZ X,6901650,2010,Individual,1st owner,46000
Royal Enfield Electra 4 S,15775200,2013,Individual,1st owner,46000
Yamaha Gladiator,2957850,2009,Individual,1st owner,46000
Honda Dream Yuga,5915700,2015,Individual,2nd owner,46070
Royal Enfield Classic 350,19719000,2015,Individual,1st owner,46500
TVS Victor,3549420,2004,Individual,1st owner,46700
Honda Shine,5915700,2010,Individual,1st owner,46782
Bajaj Discover 125,2957850,2011,Individual,1st owner,47000
Bajaj Pulsar 150 [2001-2011],2957850,2005,Individual,1st owner,47670
Hero Honda Karizma ZMR [2010],9859500,2010,Individual,1st owner,48000
Hero Honda Hunk,11042640,2015,Individual,1st owner,48000
Hero Honda Hunk,11437020,2015,Individual,1st owner,48000
Bajaj Pulsar AS200,8873550,2015,Individual,1st owner,48000
Hero Honda Splendor Plus,2366280,2005,Individual,1st owner,48000
Honda Activa [2000-2015],9859500,2014,Individual,1st owner,48000
Hero Honda CBZ,1971900,2000,Individual,4th owner,48000
Hero CD Dawn,1971900,2005,Individual,1st owner,48000
Bajaj Pulsar 135 LS,9859500,2015,Individual,1st owner,48000
Royal Enfield Classic 350,16761150,2013,Individual,1st owner,49000
Honda Activa 125,8873550,2017,Individual,1st owner,49000
TVS Victor GLX,5324130,2002,Individual,1st owner,49000
Hero Hunk,3943800,2009,Individual,2nd owner,49000
Hero Duet,6901650,2016,Individual,2nd owner,49637
Hero Honda Passion PRO [2012],5659353,2012,Individual,2nd owner,49876
Hero Honda Splendor NXG,5521320,2012,Individual,1st owner,49999
Hero Xtreme Sports,8479170,2016,Individual,2nd owner,50000
Royal Enfield Electra 4 S,17747100,2008,Individual,1st owner,50000
Hero Honda CD Deluxe,4929750,2009,Individual,1st owner,50000
KTM 390 Duke ABS [2013-2016],25634700,2015,Individual,1st owner,50000
Hero HF Deluxe,5915700,2016,Individual,1st owner,50000
Bajaj Pulsar 135 LS,3943800,2010,Individual,2nd owner,50000
Vespa VX 125,8873550,2013,Individual,2nd owner,50000
Bajaj Pulsar AS200,11831400,2015,Individual,1st owner,50000
Honda Activa [2000-2015],3943800,2010,Individual,1st owner,50000
Bajaj Discover 150S,7887600,2014,Individual,1st owner,50000
Hero Splendor Plus,3352230,2010,Individual,2nd owner,50000
Bajaj Xcd,1971900,2008,Individual,1st owner,50000
TVS Centra,1971900,2005,Individual,1st owner,50000
Yamaha FZ16,3943800,2009,Individual,1st owner,50000
Hero Splendor Plus,4929750,2012,Individual,1st owner,50000
TVS Victor,3943800,2001,Individual,1st owner,50000
Bajaj Pulsar 180,2938131,2007,Individual,1st owner,50000
TVS Spectra,3352230,2008,Individual,1st owner,50000
Hero Honda CD100,2957850,2000,Individual,1st owner,50000
Bajaj Discover 150,5915700,2012,Individual,1st owner,50000
Hero Honda Pleasure,4929750,2009,Individual,1st owner,50000
TVS Apache RTR 160,7887600,2014,Individual,2nd owner,50000
Bajaj Pulsar 150,4929750,2015,Individual,2nd owner,50000
Hero Honda Passion Plus,3549420,2007,Individual,2nd owner,50000
Honda Activa [2000-2015],2957850,2006,Individual,1st owner,50000
Bajaj Pulsar 150,6901650,2011,Individual,1st owner,50000
Honda CB Twister,5915700,2012,Individual,1st owner,50000
Hero Hunk,6901650,2013,Individual,1st owner,50000
Yamaha FZ S V 2.0,16761150,2018,Individual,1st owner,50000
Honda CB Unicorn 150,8873550,2016,Individual,2nd owner,50000
Hero Glamour 125,4929750,2013,Individual,1st owner,50000
Bajaj Discover 100,4140990,2009,Individual,1st owner,50000
TVS Star City,4929750,2016,Individual,1st owner,50000
Bajaj Discover 100,4535370,2012,Individual,1st owner,50000
Hero Honda CBZ extreme,7887600,2009,Individual,1st owner,50000
Hero Splender Plus,5915700,2018,Individual,1st owner,50000
Hero  CBZ Xtreme,3943800,2010,Individual,1st owner,50000
Hero Karizma 2014,5915700,2014,Individual,2nd owner,51000
Hero Honda CBZ extreme,8281980,2010,Individual,1st owner,51000
Bajaj Discover 125,1971900,2006,Individual,1st owner,51000
Honda Activa 3G,6901650,2016,Individual,1st owner,51000
